總集數 ,集數 ,中文集名 ,英文原名 ,導演 ,編劇 ,首播日期
96,23,羅斯的婚禮：上 ,The One with Ross's Wedding: Part 1 ,Kevin S. Bright ,,1998年5月7日
97,24,羅斯的婚禮：下 ,The One with Ross's Wedding: Part 2 ,Kevin S. Bright ,,1998年5月7日
98,1,羅斯說錯之後 ,The One After Ross Says Rachel ,凱文·布萊特 ,Seth Kurland ,1998年9月24日
99,2,都是那吻惹的禍 ,The One with All the Kissing ,加里·霍爾沃森 ,威爾·卡洪 ,1998年10月1日
100,3,第100集 / 三胞胎降生記 ,The One Hundredth / The One with the Triplets ,Kevin S. Bright ,戴維·克萊恩和瑪塔·考夫曼 ,1998年10月8日
101,4,菲比討厭公共電視台 ,The One Where Phoebe Hates PBS ,雪莉·詹森 ,Michael Curtis ,1998年10月15日
102,5,羅斯的選擇 ,The One with the Kips ,Dana DeValley Piazza ,Scott Silveri ,1998年10月29日
103,6,野人 ,The One with the Yeti ,Gary Halvorson ,Alexa Junge ,1998年11月5日
104,7,羅斯搬來了 ,The One Where Ross Moves In ,Gary Halvorson ,Gigi McCreery和Perry M. Rein ,1998年11月12日
105,8,感恩節回憶 ,The One with All the Thanksgivings ,Kevin S. Bright ,Gregory S. Malins ,1998年11月19日
106,9,誰動了我的三明治 ,The One with Ross's Sandwich ,Gary Halvorson ,Ted Cohen & Andrew Reich ,1998年12月10日
107,10,親密兄妹 ,The One with the Inappropriate Sister ,Dana DeValley Piazza ,Shana Goldberg-Meehan ,1998年12月17日
108,11,新年新氣象 ,The One with All the Resolutions ,喬·雷加布托 ,Brian Boyle / Suzie Villandry ,1999年1月7日
109,12,錢德的應酬笑 ,The One with Chandler's Work Laugh ,Kevin S. Bright ,Alicia Sky Varinaitis ,1999年1月21日
110,13,喬伊的新包包 ,The One with Joey's Bag ,蓋爾·曼庫索 ,Michael Curtis / Seth Kurland ,1999年2月4日
111,14,真相大白 ,The One Where Everybody Finds Out ,邁克爾·倫貝克 ,Alexa Junge ,1999年2月11日
112,15,喬伊的野蠻女友 ,The One with the Girl Who Hits Joey ,Kevin S. Bright ,Adam Chase ,1999年2月18日
113,16,警察故事 ,The One with the Cop ,安德魯·曹 ,Alicia Sky Varinaitis / Gigi McCreery和P,erry M. Rein 1999年2月25日
114,17,瑞秋的無心之吻 ,The One with Rachel's Inadvertent Kiss ,Shelley Jensen ,Andrew Reich和Ted Cohen ,1999年3月18日
115,18,瑞秋抽菸 ,The One Where Rachel Smokes ,托德·霍蘭德 ,Michael Curtis ,1999年4月8日
116,19,羅斯不會搭訕 ,The One Where Ross Can't Flirt ,Gail Mancuso ,Doty Abrams ,1999年4月22日
